date,return,realized variance
2000-07-20,0.12278603,3.43E-01
2000-07-21,0.851172825,2.52E-01
2000-07-24,-0.564637005,3.77E-01
2000-07-25,-0.583683151,4.62E-01
2000-07-26,0.046170184,1.61E-01
2000-07-27,-0.600007986,1.71E-01
2000-07-28,-0.183204262,6.53E-02
2000-07-31,0.049768268,4.42E-01
2000-08-01,0.133691938,1.41E-01
2000-08-02,0.493047187,2.62E-01
2000-08-03,0.117487028,1.49E-01
2000-08-04,0.101913197,1.64E-01
2000-08-07,0.59591637,6.68E-02
2000-08-08,-0.101073532,2.42E-01
2000-08-09,0.281647209,8.09E-02
2000-08-10,0.018350307,7.35E-02
2000-08-11,-0.149817343,1.75E-01
2000-08-14,0.158836859,9.66E-02
2000-08-15,0.295655305,1.51E-01
2000-08-16,0.422615062,9.71E-02
2000-08-17,0.148703425,3.16E-01
2000-08-18,0.133317193,1.19E-01
2000-08-21,-0.096987339,6.99E-02
2000-08-22,0.477789775,1.26E-01
2000-08-23,0.271321501,1.51E-01
2000-08-24,0.177313004,1.52E-01
2000-08-25,-0.10219725,1.06E-01
2000-08-28,-0.036090226,9.13E-02
2000-08-29,0.114326988,2.22E-01
2000-08-30,-0.506574476,1.68E-01
2000-08-31,-1.221157338,4.96E-01
2000-09-01,0.972850417,2.39E-01
2000-09-04,0.567261232,3.57E-01
2000-09-05,-0.048370519,1.16E-01
2000-09-06,-0.749681028,1.86E-01
2000-09-07,-0.455094629,3.25E-01
2000-09-08,0.326962446,1.34E-01
2000-09-11,-0.434317857,3.95E-02
2000-09-12,0.654997445,1.75E-01
2000-09-13,0.359657799,2.77E-01
2000-09-14,0.209704212,1.9E-01
2000-09-15,-0.435200103,2.18E-01
2000-09-18,-1.442369662,5.51E-01
2000-09-19,-1.216863689,4.27E-01
2000-09-20,0.588144977,1.06E-01
2000-09-21,0.084231548,1.49E-01
2000-09-22,-1.896643944,6.94E-01
2000-09-25,0.694128078,3.65E-01
2000-09-26,0.73299581,3.48E-01
2000-09-27,0.734550462,3.08E-01
2000-09-28,0.956499327,6.27E-01
2000-09-29,0.234611455,1.43E-01
2000-10-02,0.178582472,1.81E-01
2000-10-03,0.696695828,3.67E-01
2000-10-04,-0.244693338,2.61E-01
2000-10-05,-0.21769467,2.18E-01
2000-10-06,-0.587811562,5.27E-01
